ligne;course;dow;first_time;med_time;nb_courses;first_date;last_date;created_at
40;3948469;3;"08:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948469;4;"08:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948469;5;"08:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948470;1;"08:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948470;2;"08:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948470;3;"08:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948470;4;"08:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948470;5;"08:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948471;1;"08:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948471;2;"08:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948471;3;"08:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948471;4;"08:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948471;5;"08:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948472;1;"08:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948472;2;"08:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948472;3;"08:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948472;4;"08:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948472;5;"08:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948473;1;"08:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948473;2;"08:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948473;3;"08:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948473;4;"08:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948473;5;"08:40:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948474;1;"08:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948474;2;"08:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948474;3;"08:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948474;4;"08:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948474;5;"08:50:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948475;1;"09:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948475;2;"09:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948475;3;"09:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948475;4;"09:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948475;5;"09:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948476;1;"09:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948476;2;"09:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948476;3;"09:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948476;4;"09:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948476;5;"09:10:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948477;1;"09:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948477;2;"09:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948477;3;"09:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948477;4;"09:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948477;5;"09:20:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948478;1;"09:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948478;2;"09:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948478;3;"09:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
40;3948478;4;"09:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:19.178075"
45;3948300;1;"06:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948300;2;"06:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948300;3;"06:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948300;4;"06:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948300;5;"06:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
